Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.20, 0.54, 2, sigma-NMD (TSVD init), 0.444786 ± 0.000016, 0.159753 ± 0.000048, 0.336146 ± 0.000029, 150.00 ± 3.785939
0.20, 0.54, 2, sigma-NMD (Random init), 0.444728 ± 0.000009, 0.160174 ± 0.000072, 0.336101 ± 0.000021, 155.00 ± 2.211083
0.20, 0.54, 2, eBCD-NMD (TSVD init), 0.460444 ± 0.000000, 0.170873 ± 0.000011, 0.344219 ± 0.000000, 12.00 ± 0.000000
0.20, 0.54, 2, eBCD-NMD (Random init), 0.494038 ± 0.000036, 0.189421 ± 0.000124, 0.371836 ± 0.000033, 16.60 ± 0.653197
0.20, 0.54, 2, TSVD, 0.461390 ± 0.000000, 0.164900 ± 0.000015, 0.343166 ± 0.000000, 30.00 ± 1.000000
0.20, 0.54, 5, sigma-NMD (TSVD init), 0.343878 ± 0.000049, 0.125946 ± 0.000244, 0.316050 ± 0.000338, 1145.00 ± 10.241528
0.20, 0.54, 5, sigma-NMD (Random init), 0.344826 ± 0.000325, 0.126345 ± 0.000433, 0.318147 ± 0.000537, 1167.00 ± 14.468356
0.20, 0.54, 5, eBCD-NMD (TSVD init), 0.402054 ± 0.000001, 0.132490 ± 0.000080, 0.308937 ± 0.000011, 14.00 ± 0.000000
0.20, 0.54, 5, eBCD-NMD (Random init), 0.444095 ± 0.000010, 0.156675 ± 0.000062, 0.347869 ± 0.000019, 19.30 ± 0.538516
0.20, 0.54, 5, TSVD, 0.402199 ± 0.000001, 0.129691 ± 0.000098, 0.309678 ± 0.000012, 83.00 ± 4.898979
0.20, 0.54, 10, sigma-NMD (TSVD init), 0.207897 ± 0.000379, 0.115800 ± 0.000435, 0.334497 ± 0.000661, 2073.00 ± 43.838086
0.20, 0.54, 10, sigma-NMD (Random init), 0.211734 ± 0.000787, 0.116741 ± 0.000585, 0.335840 ± 0.000882, 2133.00 ± 78.199176
0.20, 0.54, 10, eBCD-NMD (TSVD init), 0.357223 ± 0.000160, 0.111052 ± 0.000172, 0.289853 ± 0.000203, 16.20 ± 1.339983
0.20, 0.54, 10, eBCD-NMD (Random init), 0.410274 ± 0.000007, 0.159622 ± 0.000103, 0.347848 ± 0.000031, 23.30 ± 1.095952
0.20, 0.54, 10, TSVD, 0.358884 ± 0.000157, 0.107017 ± 0.000389, 0.289318 ± 0.000389, 483.00 ± 23.935097
