Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.30, 0.15, 2, sigma-NMD (TSVD init), 0.773136 ± 0.000064, 0.125017 ± 0.000084, 0.306711 ± 0.000051, 304.00 ± 5.783117
0.30, 0.15, 2, sigma-NMD (Random init), 0.775853 ± 0.000766, 0.124891 ± 0.000346, 0.306824 ± 0.000126, 324.00 ± 16.670000
0.30, 0.15, 2, eBCD-NMD (TSVD init), 0.793694 ± 0.000001, 0.128776 ± 0.000017, 0.313014 ± 0.000006, 12.00 ± 0.000000
0.30, 0.15, 2, eBCD-NMD (Random init), 0.814198 ± 0.000118, 0.136127 ± 0.000107, 0.320804 ± 0.000069, 18.50 ± 0.223607
0.30, 0.15, 2, TSVD, 0.794319 ± 0.000002, 0.124664 ± 0.000046, 0.309715 ± 0.000001, 62.00 ± 7.810250
0.30, 0.15, 5, sigma-NMD (TSVD init), 0.595985 ± 0.000974, 0.105948 ± 0.000403, 0.297966 ± 0.000535, 1512.00 ± 20.680103
0.30, 0.15, 5, sigma-NMD (Random init), 0.594618 ± 0.000754, 0.106275 ± 0.000303, 0.295421 ± 0.000491, 1469.00 ± 23.371398
0.30, 0.15, 5, eBCD-NMD (TSVD init), 0.722437 ± 0.000273, 0.115526 ± 0.000110, 0.292710 ± 0.000213, 20.70 ± 1.751507
0.30, 0.15, 5, eBCD-NMD (Random init), 0.750077 ± 0.000004, 0.128653 ± 0.000012, 0.303049 ± 0.000001, 26.70 ± 1.584999
0.30, 0.15, 5, TSVD, 0.721468 ± 0.000233, 0.113442 ± 0.000151, 0.292076 ± 0.000143, 548.00 ± 24.497165
0.30, 0.15, 10, sigma-NMD (TSVD init), 0.406687 ± 0.000822, 0.117902 ± 0.000495, 0.337959 ± 0.000742, 1745.00 ± 83.162492
0.30, 0.15, 10, sigma-NMD (Random init), 0.417232 ± 0.001558, 0.120268 ± 0.000392, 0.339785 ± 0.000581, 1943.00 ± 33.888707
0.30, 0.15, 10, eBCD-NMD (TSVD init), 0.659004 ± 0.000093, 0.103683 ± 0.000139, 0.278827 ± 0.000043, 21.70 ± 1.282792
0.30, 0.15, 10, eBCD-NMD (Random init), 0.689936 ± 0.000009, 0.122959 ± 0.000086, 0.293544 ± 0.000011, 32.60 ± 2.717025
0.30, 0.15, 10, TSVD, 0.657062 ± 0.000042, 0.101903 ± 0.000263, 0.281731 ± 0.000064, 454.00 ± 8.825468
