Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.10, 0.54, 2, sigma-NMD (TSVD init), 0.445159 ± 0.000010, 0.163406 ± 0.000078, 0.337113 ± 0.000017, 132.00 ± 2.333333
0.10, 0.54, 2, sigma-NMD (Random init), 0.445081 ± 0.000011, 0.163281 ± 0.000034, 0.337048 ± 0.000019, 134.00 ± 2.603417
0.10, 0.54, 2, eBCD-NMD (TSVD init), 0.460457 ± 0.000000, 0.174464 ± 0.000019, 0.346849 ± 0.000000, 12.00 ± 0.000000
0.10, 0.54, 2, eBCD-NMD (Random init), 0.469962 ± 0.000008, 0.177519 ± 0.000116, 0.353922 ± 0.000021, 15.60 ± 0.400000
0.10, 0.54, 2, TSVD, 0.461419 ± 0.000000, 0.169870 ± 0.000011, 0.342720 ± 0.000000, 27.00 ± 1.632993
0.10, 0.54, 5, sigma-NMD (TSVD init), 0.349609 ± 0.000062, 0.120292 ± 0.000244, 0.309069 ± 0.000144, 1016.00 ± 10.246951
0.10, 0.54, 5, sigma-NMD (Random init), 0.351915 ± 0.000599, 0.124692 ± 0.000997, 0.313485 ± 0.001180, 1012.00 ± 8.875685
0.10, 0.54, 5, eBCD-NMD (TSVD init), 0.402530 ± 0.000001, 0.132205 ± 0.000114, 0.311577 ± 0.000008, 13.00 ± 0.000000
0.10, 0.54, 5, eBCD-NMD (Random init), 0.415603 ± 0.000001, 0.135374 ± 0.000155, 0.323253 ± 0.000021, 18.60 ± 0.339935
0.10, 0.54, 5, TSVD, 0.403494 ± 0.000001, 0.130768 ± 0.000107, 0.309533 ± 0.000014, 90.00 ± 6.904105
0.10, 0.54, 10, sigma-NMD (TSVD init), 0.217394 ± 0.000285, 0.115344 ± 0.000534, 0.332482 ± 0.000780, 2273.00 ± 32.924155
0.10, 0.54, 10, sigma-NMD (Random init), 0.221200 ± 0.000547, 0.116017 ± 0.000458, 0.333422 ± 0.000725, 2279.00 ± 29.992592
0.10, 0.54, 10, eBCD-NMD (TSVD init), 0.359743 ± 0.000185, 0.107558 ± 0.000334, 0.288399 ± 0.000325, 15.60 ± 1.056199
0.10, 0.54, 10, eBCD-NMD (Random init), 0.377041 ± 0.000000, 0.119163 ± 0.000150, 0.310161 ± 0.000007, 24.30 ± 2.022375
0.10, 0.54, 10, TSVD, 0.359696 ± 0.000052, 0.108607 ± 0.000236, 0.291461 ± 0.000123, 447.00 ± 25.569079
