Missing %, 1's %, Rank, Method, Mean Relative Error, Mean Error Rate, Mean RMSE, Mean Iterations
0.50, 0.15, 2, sigma-NMD (TSVD init), 0.770926 ± 0.000085, 0.126005 ± 0.000199, 0.310781 ± 0.000102, 325.00 ± 8.055364
0.50, 0.15, 2, sigma-NMD (Random init), 0.771936 ± 0.000566, 0.126829 ± 0.000091, 0.311001 ± 0.000154, 330.00 ± 11.298968
0.50, 0.15, 2, eBCD-NMD (TSVD init), 0.794710 ± 0.000001, 0.128657 ± 0.000019, 0.312328 ± 0.000009, 12.00 ± 0.000000
0.50, 0.15, 2, eBCD-NMD (Random init), 0.848765 ± 0.000244, 0.145389 ± 0.000185, 0.332709 ± 0.000118, 18.70 ± 0.260342
0.50, 0.15, 2, TSVD, 0.794544 ± 0.000001, 0.126829 ± 0.000015, 0.312131 ± 0.000005, 63.00 ± 7.118052
0.50, 0.15, 5, sigma-NMD (TSVD init), 0.582498 ± 0.001870, 0.118946 ± 0.000443, 0.323814 ± 0.001057, 1767.00 ± 21.354157
0.50, 0.15, 5, sigma-NMD (Random init), 0.574077 ± 0.001566, 0.117820 ± 0.000549, 0.319019 ± 0.000828, 1727.00 ± 31.382939
0.50, 0.15, 5, eBCD-NMD (TSVD init), 0.716544 ± 0.000133, 0.116586 ± 0.000193, 0.294779 ± 0.000134, 15.70 ± 0.300000
0.50, 0.15, 5, eBCD-NMD (Random init), 0.793070 ± 0.000052, 0.143457 ± 0.000093, 0.321351 ± 0.000089, 22.90 ± 1.015983
0.50, 0.15, 5, TSVD, 0.719264 ± 0.000376, 0.114859 ± 0.000223, 0.296030 ± 0.000153, 600.00 ± 30.675723
0.50, 0.15, 10, sigma-NMD (TSVD init), 0.354332 ± 0.000578, 0.132361 ± 0.000310, 0.356652 ± 0.000424, 629.00 ± 11.333333
0.50, 0.15, 10, sigma-NMD (Random init), 0.378569 ± 0.002407, 0.137822 ± 0.000510, 0.364835 ± 0.000762, 784.00 ± 46.857941
0.50, 0.15, 10, eBCD-NMD (TSVD init), 0.647180 ± 0.000156, 0.108883 ± 0.000223, 0.286400 ± 0.000207, 25.00 ± 4.328202
0.50, 0.15, 10, eBCD-NMD (Random init), 0.740089 ± 0.000185, 0.143067 ± 0.000082, 0.321088 ± 0.000191, 22.00 ± 0.614636
0.50, 0.15, 10, TSVD, 0.647634 ± 0.000116, 0.107125 ± 0.000131, 0.290336 ± 0.000150, 585.00 ± 14.847372
